,SpeakerDyad,ListenerDyad,SpeakerExtract,ListenerExtract,SpeakerID,ListenerID,VideoPath,AudioPath,Condition,Modality,SpeakerSex,Duration,DisplayedDyad
369,27,27,2,4,M7,F7,./stim/processed_extracts/fake/27\2_4_va.mov,./stim/processed_extracts/audio/27/2_4_audio.wav,fake_wd,va,M,8,27
370,27,27,2,4,M7,F7,./stim/processed_extracts/fake/27\2_4_vv.mov,./stim/processed_extracts/audio/27/2_4_audio.wav,fake_wd,vv,M,8,27
371,27,27,2,4,M7,F7,./stim/processed_extracts/fake/27\2_4_vva.mov,./stim/processed_extracts/audio/27/2_4_audio.wav,fake_wd,vva,M,8,27
372,28,28,4,2,M8,F7,./stim/processed_extracts/fake/28\2_4_va.mov,./stim/processed_extracts/audio/28/2_4_audio.wav,fake_wd,va,M,8,28
373,28,28,4,2,M8,F7,./stim/processed_extracts/fake/28\2_4_vv.mov,./stim/processed_extracts/audio/28/2_4_audio.wav,fake_wd,vv,M,8,28
374,28,28,4,2,M8,F7,./stim/processed_extracts/fake/28\2_4_vva.mov,./stim/processed_extracts/audio/28/2_4_audio.wav,fake_wd,vva,M,8,28
375,29,29,4,2,M9,F8,./stim/processed_extracts/fake/29\2_4_va.mov,./stim/processed_extracts/audio/29/2_4_audio.wav,fake_wd,va,M,8,29
376,29,29,4,2,M9,F8,./stim/processed_extracts/fake/29\2_4_vv.mov,./stim/processed_extracts/audio/29/2_4_audio.wav,fake_wd,vv,M,8,29
377,29,29,4,2,M9,F8,./stim/processed_extracts/fake/29\2_4_vva.mov,./stim/processed_extracts/audio/29/2_4_audio.wav,fake_wd,vva,M,8,29
378,31,31,1,10,M10,F8,./stim/processed_extracts/fake/31\1_10_va.mov,./stim/processed_extracts/audio/31/1_10_audio.wav,fake_wd,va,M,8,31
379,31,31,1,10,M10,F8,./stim/processed_extracts/fake/31\1_10_vv.mov,./stim/processed_extracts/audio/31/1_10_audio.wav,fake_wd,vv,M,8,31
380,31,31,1,10,M10,F8,./stim/processed_extracts/fake/31\1_10_vva.mov,./stim/processed_extracts/audio/31/1_10_audio.wav,fake_wd,vva,M,8,31
381,31,31,9,5,F8,M10,./stim/processed_extracts/fake/31\5_9_va.mov,./stim/processed_extracts/audio/31/5_9_audio.wav,fake_wd,va,F,8,31
382,31,31,9,5,F8,M10,./stim/processed_extracts/fake/31\5_9_vv.mov,./stim/processed_extracts/audio/31/5_9_audio.wav,fake_wd,vv,F,8,31
383,31,31,9,5,F8,M10,./stim/processed_extracts/fake/31\5_9_vva.mov,./stim/processed_extracts/audio/31/5_9_audio.wav,fake_wd,vva,F,8,31
384,32,32,5,2,F9,M10,./stim/processed_extracts/fake/32\2_5_va.mov,./stim/processed_extracts/audio/32/2_5_audio.wav,fake_wd,va,F,6,32
385,32,32,5,2,F9,M10,./stim/processed_extracts/fake/32\2_5_vv.mov,./stim/processed_extracts/audio/32/2_5_audio.wav,fake_wd,vv,F,6,32
386,32,32,5,2,F9,M10,./stim/processed_extracts/fake/32\2_5_vva.mov,./stim/processed_extracts/audio/32/2_5_audio.wav,fake_wd,vva,F,6,32
387,34,34,6,2,F10,M9,./stim/processed_extracts/fake/34\2_6_va.mov,./stim/processed_extracts/audio/34/2_6_audio.wav,fake_wd,va,F,9,34
388,34,34,6,2,F10,M9,./stim/processed_extracts/fake/34\2_6_vv.mov,./stim/processed_extracts/audio/34/2_6_audio.wav,fake_wd,vv,F,9,34
389,34,34,6,2,F10,M9,./stim/processed_extracts/fake/34\2_6_vva.mov,./stim/processed_extracts/audio/34/2_6_audio.wav,fake_wd,vva,F,9,34
390,35,35,3,1,F9,M11,./stim/processed_extracts/fake/35\1_3_va.mov,./stim/processed_extracts/audio/35/1_3_audio.wav,fake_wd,va,F,11,35
391,35,35,3,1,F9,M11,./stim/processed_extracts/fake/35\1_3_vv.mov,./stim/processed_extracts/audio/35/1_3_audio.wav,fake_wd,vv,F,11,35
392,35,35,3,1,F9,M11,./stim/processed_extracts/fake/35\1_3_vva.mov,./stim/processed_extracts/audio/35/1_3_audio.wav,fake_wd,vva,F,11,35
393,36,36,1,6,F8,M11,./stim/processed_extracts/fake/36\1_6_va.mov,./stim/processed_extracts/audio/36/1_6_audio.wav,fake_wd,va,F,8,36
394,36,36,1,6,F8,M11,./stim/processed_extracts/fake/36\1_6_vv.mov,./stim/processed_extracts/audio/36/1_6_audio.wav,fake_wd,vv,F,8,36
395,36,36,1,6,F8,M11,./stim/processed_extracts/fake/36\1_6_vva.mov,./stim/processed_extracts/audio/36/1_6_audio.wav,fake_wd,vva,F,8,36
396,37,37,6,2,M10,F11,./stim/processed_extracts/fake/37\2_6_va.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,fake_wd,va,M,12,37
397,37,37,6,2,M10,F11,./stim/processed_extracts/fake/37\2_6_vv.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,fake_wd,vv,M,12,37
398,37,37,6,2,M10,F11,./stim/processed_extracts/fake/37\2_6_vva.mov,./stim/processed_extracts/audio/37/2_6_audio.wav,fake_wd,vva,M,12,37
399,38,38,3,5,F8,M12,./stim/processed_extracts/fake/38\3_5_va.mov,./stim/processed_extracts/audio/38/3_5_audio.wav,fake_wd,va,F,9,38
400,38,38,3,5,F8,M12,./stim/processed_extracts/fake/38\3_5_vv.mov,./stim/processed_extracts/audio/38/3_5_audio.wav,fake_wd,vv,F,9,38
401,38,38,3,5,F8,M12,./stim/processed_extracts/fake/38\3_5_vva.mov,./stim/processed_extracts/audio/38/3_5_audio.wav,fake_wd,vva,F,9,38
402,40,40,8,5,M10,F10,./stim/processed_extracts/fake/40\5_8_va.mov,./stim/processed_extracts/audio/40/5_8_audio.wav,fake_wd,va,M,10,40
403,40,40,8,5,M10,F10,./stim/processed_extracts/fake/40\5_8_vv.mov,./stim/processed_extracts/audio/40/5_8_audio.wav,fake_wd,vv,M,10,40
404,40,40,8,5,M10,F10,./stim/processed_extracts/fake/40\5_8_vva.mov,./stim/processed_extracts/audio/40/5_8_audio.wav,fake_wd,vva,M,10,40
405,40,40,10,7,M10,F10,./stim/processed_extracts/fake/40\7_10_va.mov,./stim/processed_extracts/audio/40/7_10_audio.wav,fake_wd,va,M,14,40
406,40,40,10,7,M10,F10,./stim/processed_extracts/fake/40\7_10_vv.mov,./stim/processed_extracts/audio/40/7_10_audio.wav,fake_wd,vv,M,14,40
407,40,40,10,7,M10,F10,./stim/processed_extracts/fake/40\7_10_vva.mov,./stim/processed_extracts/audio/40/7_10_audio.wav,fake_wd,vva,M,14,40
408,42,42,4,3,M12,F11,./stim/processed_extracts/fake/42\3_4_va.mov,./stim/processed_extracts/audio/42/3_4_audio.wav,fake_wd,va,M,10,42
409,42,42,4,3,M12,F11,./stim/processed_extracts/fake/42\3_4_vv.mov,./stim/processed_extracts/audio/42/3_4_audio.wav,fake_wd,vv,M,10,42
410,42,42,4,3,M12,F11,./stim/processed_extracts/fake/42\3_4_vva.mov,./stim/processed_extracts/audio/42/3_4_audio.wav,fake_wd,vva,M,10,42
411,43,43,3,7,F10,M11,./stim/processed_extracts/fake/43\3_7_va.mov,./stim/processed_extracts/audio/43/3_7_audio.wav,fake_wd,va,F,11,43
412,43,43,3,7,F10,M11,./stim/processed_extracts/fake/43\3_7_vv.mov,./stim/processed_extracts/audio/43/3_7_audio.wav,fake_wd,vv,F,11,43
413,43,43,3,7,F10,M11,./stim/processed_extracts/fake/43\3_7_vva.mov,./stim/processed_extracts/audio/43/3_7_audio.wav,fake_wd,vva,F,11,43
414,45,45,4,2,F12,M13,./stim/processed_extracts/fake/45\2_4_va.mov,./stim/processed_extracts/audio/45/2_4_audio.wav,fake_wd,va,F,9,45
415,45,45,4,2,F12,M13,./stim/processed_extracts/fake/45\2_4_vv.mov,./stim/processed_extracts/audio/45/2_4_audio.wav,fake_wd,vv,F,9,45
416,45,45,4,2,F12,M13,./stim/processed_extracts/fake/45\2_4_vva.mov,./stim/processed_extracts/audio/45/2_4_audio.wav,fake_wd,vva,F,9,45
417,47,47,6,5,F13,M13,./stim/processed_extracts/fake/47\5_6_va.mov,./stim/processed_extracts/audio/47/5_6_audio.wav,fake_wd,va,F,12,47
418,47,47,6,5,F13,M13,./stim/processed_extracts/fake/47\5_6_vv.mov,./stim/processed_extracts/audio/47/5_6_audio.wav,fake_wd,vv,F,12,47
419,47,47,6,5,F13,M13,./stim/processed_extracts/fake/47\5_6_vva.mov,./stim/processed_extracts/audio/47/5_6_audio.wav,fake_wd,vva,F,12,47
