Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66a7b20d7b59d100ba93fd14,6537f2a58f376892556b8b78,RETURNED,Not Applicable,2024-07-29T15:15:30.747000Z,,,2024-07-29T21:40:42.670619Z,,,156,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b224c285f3a8b3c25240,669688548fa06a3970e3a00e,APPROVED,Not Applicable,2024-07-29T15:16:30.146000Z,2024-07-29T15:35:55.895000Z,2024-07-29T15:35:59.220000Z,2024-07-29T15:35:56.630700Z,1166.0,CDDT2OUD,17,French,22,Male,White,France,Canada,Canada,French,Yes,Full-Time
66a7b2412c433c90614f5f84,664b29e00b0ff2389ab94de7,APPROVED,Not Applicable,2024-07-29T15:16:21.970000Z,2024-07-29T15:28:15.197000Z,2024-07-29T15:30:02.034000Z,2024-07-29T15:29:03.575802Z,714.0,CDDT2OUD,25,French,23,Male,White,France,France,France,French,Yes,Other
66a7b259a20292c6d5b13475,5de76e8d36d8256e47625c4f,APPROVED,Not Applicable,2024-07-29T15:17:04.509000Z,2024-07-29T15:27:50.849000Z,2024-07-29T15:29:50.181000Z,2024-07-29T15:28:53.758259Z,647.0,CDDT2OUD,655,French,23,Female,White,France,France,France,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66a7b25cad8eb9ca6a3a706a,654aaf45083b00b57dc0f8a7,RETURNED,Not Applicable,2024-07-29T15:16:55.341000Z,,,2024-07-29T21:40:42.677166Z,,,48,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b265b8ba50fe76dc0130,65522f1d3bea9d006c0df7aa,APPROVED,Not Applicable,2024-07-29T15:24:15.626000Z,2024-07-29T15:42:07.818000Z,2024-07-29T15:43:43.503000Z,2024-07-29T15:43:01.645597Z,1073.0,CDDT2OUD,78,French,28,Female,Other,France,Japan,France,French,No,Full-Time
66a7b27a58d2f3325ac1e7d8,65b1adf836b2dca620afc5a3,APPROVED,Not Applicable,2024-07-29T15:17:30.891000Z,2024-07-29T15:31:19.187000Z,2024-07-29T16:59:52.525000Z,2024-07-29T15:31:20.092021Z,829.0,CDDT2OUD,164,French,25,Female,White,France,France,France,French,No,Other
66a7b2841d475c30782ed0a1,6605bc33cd5de51f7deaf3c4,APPROVED,Not Applicable,2024-07-29T15:18:02.561000Z,2024-07-29T15:28:29.003000Z,2024-07-29T15:30:16.542000Z,2024-07-29T15:29:10.214032Z,627.0,CDDT2OUD,78,"English, French",23,Male,Asian,France,France,France,French,Yes,Other
66a7b2c04f11deb58bbfa0ba,66572911cfc5aaecdc0315d5,RETURNED,Not Applicable,2024-07-29T15:18:37.410000Z,,,2024-07-29T21:40:42.695530Z,,,51,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
66a7b2cc3b9c406d876e52f0,6670512f1a53820a03b40b84,RETURNED,Not Applicable,2024-07-29T15:19:02.788000Z,,,2024-07-29T21:40:42.695905Z,,,33,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
